title,references
"A randomized, controlled trial of radiograph ordering for extremity trauma in a pediatric emergency department","SackettDL Bias in analytic researchJ Chron Dis(1979)-::-ResnikCS Diagnostic imaging of pediatric skeletal traumaRadiol Clin North Am(1989)-::-ConradEU  et al.Fractures and sprainsPediatr Clin North Am(1986)-::-GallagherSS  et al.The incidence of injuries among 87,000 Massachusetts children and adolescents: Results of the 1980–81 statewide childhood injury prevention program surveillance systemAm J Public Health(1984)-::-Royal College of Radiologists Working PartyRadiography of injured arms and legs in eight accident and emergency units in England and WalesBr Med J(1985)-::-de LaceyG  et al.Reasons for requesting radiographs in an accident departmentBr Med J(1979)-::-LeonidasJC Avoiding unnecessary x-ray exposure in childrenComprehens Therap(1980)-::-McConnochieKM  et al.Prediction rules for selective radiographic assessment of extremity injuries in children and adolescentsPediatrics(1990)-::-BrandDA  et al.A protocol for selecting patients with injured extremities who need x-raysN Engl J Med(1982)-::-FosarelliPD  et al.Outpatient radiographic exposure in the first five years of lifeClin Pediatr(1987)"
Comparison of triage nurse versus emergency physician ordering of extremity radiographs,L Ropp et al.Radiograph ordering: Agreement between the triage nurse and the physician in a pediatric emergency departmentAnn Emerg Med(1989)-::-T MayerIndustrial models of continuous quality improvement: Implications for emergency medicineQuality in Emergency MedicineEmerg Med Clin North Am(1992)-::-L Ropp et al.Radiograph ordering: Agreement between the triage nurse and the physician in a pediatric emergency departmentJ Emerg Med(1990)-::-A Bliss et al.The emergency room nurse orders x-rays of distal limbs in orthopedic traumaNurs Res(1971)-::-T Rausch et al.Nurses' clinical judgmentsNurs Mgt(1981)
Computerized algorithm-directed triage in the emergency department,HilkerT Nonemergency visits to a pediatric departmentJACEP(1978)-::-WilsonL  et al.Algorithm-directed triage in a pediatric acute care facility: A retrospective studyAnn Emerg Med(1981)-::-SlayL  et al.Algorithm-directed triage in an emergency departmentJACEP(1976)-::-VaughnP  et al.Effective algorithm-based triage and self-care protocols: Quality medicine at lower costAnn Emerg Med(1980)-::-GreistJ  et al.A computer interview for the emergency room patientsComput Biomed Res(1973)-::-WilsonL  et al.Computerized triage of pediatric patients: Automated triage algorithmsAnn Emerg Med(1981)-::-CrossF Utilization patterns in a categorization system: Are the concerns real or imagined?JACEP(1979)-::-SmeltzerC  et al.An analysis of emergency department time: Laying the groundwork for efficiency standardsQRB(1987)-::-SalanderJ  et al.Reorganization of emergency room triage at Womack Army HospitalMilit Med(1983)
Clinical decision rule for knee radiographs,MC Gratton et al.Clinically significant radiographs misinterpretations at an emergency medicine residency programAnn Emerg Med(1990)-::-IG Stiell et al.A study to develop clinical decision rules for the use of radiography in acute ankle injuriesAnn Emerg Med(1992)-::-JR Hoffman et al.Low-risk criteria for cervical-spine radiography in blunt trauma: A prospective studyAm Emerg Med(1992)-::-P Kannus et al.Routine radiographs in acute knee distortionsOrthopedics(1988)-::-J Jakobsen et al.Vaerdien af primaer rontgenundersogelse ved klinisk mistanke om meniskog/eller ligamentlaesionUgeskr Laeger(1985)-::-AC Saxena et al.The role of knee radiographs in the emergency department: A prospective studyAnn Emerg Med(1992)-::-MG Dunlop et al.Guidelines for selective radiological assessment of inversion ankle injuriesBr Med J(1986)
No problem! Establishing a nurse requested X-ray service,
The lifeline of triage,C. PryceIs the named nurse a reality in Accident > Emergency?Accident and Emergency Nursing(1994)-::-D. Allan et al.Challenging the focus on technology: a critique of the medical model in a changing health care systemAdvances in Nursing Science(1988)-::-J. AndrewSpecialisation and developing standards within the National Standards frameworkAustralian Critical Care(1992)-::-P. BennerFrom Novice to Expert - Excellence and Power in Clinical Nursing(1982)-::-D. BoudFacilitating learning in continuing education: some important sourcesStudies in Higher Education(1986)-::-D. Boud et al.Reflection-turning experience into learning(1985)-::-G. CastledineA & E Nurses: from Cinderella to QueenbeeBritish Journal of Nursing(1993)-::-M. Cleary et al.National Triage Scale for Australian Emergency departments(1993)-::-P. FreireEducation for critical consciousness(1974)-::-L. GagnonCustomer service: is the answer better communication?Journal of Emergency Nursing April(1991)
Triage: a literature review 1985–19930,R.W. Derlet et al.Refusing care to patients who present to an Emergency DepartmentAnnals of Emergency Medicine(1990)-::-J. BacheNurse triage (Letters)British Medical Journal(1992)-::-A. Bailey et al.Triage on trialNursing Times(1987)-::-T. Beauchamp et al.Principles of Biomedical Ethics(1989)-::-P. BlythinWould you like to wait over there please?Nursing Mirror(1983)-::-P. BlythinTriage in the UKNursing(1988)-::-E. Buckles et al.Triage by telephoneNursing Times(1991)-::-K. BurgessA dynamic role that improves the service. Combining triage and nurse practitioner roles in A&EProfessional Nurse(1992)-::-R.A. CruickshankNurse triage (Letters)British Medical Journal(1992)-::-J. DaleNurse triage (Letters)British Medical Journal(1992)-::-Department of HealthThe Patient's Charter(1991)-::-J. DobsonTrust says it cannot live up to Patient's CharterHealth Service Journal(1992)-::-B. DolanSeniority doesn't mean better newsNursing Standard(1993)-::-D. EavesWhy should we care in A & ENursing Times(1987)-::-H. GazeRCN A & E nurses' forum conference 1991 reportNursing Times(1991)-::-S.L. George et al.Debate about triage in A & E departmentsJournal of Advanced Nursing(1991)-::-B. GortonThe Patient's Charter and the Accident and Emergency DepartmentReport of evaluative research to the Department of Health(1993)-::-R. GrayIntroducing triage to a new departmentNursing Standard(1991)-::-A. GroseTriage in A & EThe Professional Nurse(1988)-::-H. Hansagi et al.The urgency of care need and patient satisfaction at a hospital emergency departmentHealth Care Management Review(1992)-::-I. HaywoodTriage. care of the critically ill(1988)
Do triage nurse-initiated X-rays for limb injuries reduce patient transit time?,J. DaviesX-ray vision of shorter queuesNursing Times(1994)
Delayed Administration of Antibiotics and Atypical Presentation in Community-Acquired Pneumonia,"ColiceGL  et al.Treatment costs of community-acquired pneumonia in an employed populationChest(2004)-::-BoneRC  et al.Definitions for sepsis and organ failure and guidelines for the use of innovative therapies in sepsis: the ACCP/SCCM Consensus Conference Committee; American College of Chest Physicians/Society of Critical Care MedicineChest(1992)-::-HusteyFM  et al.The prevalence and documentation of impaired mental status in elderly emergency department patientsAnn Emerg Med(2002)-::-ReevesRR  et al.Unrecognized medical emergencies admitted to psychiatric unitsAm J Emerg Med(2000)-::-MeehanTP  et al.Quality of care, process, and outcomes in elderly patients with pneumoniaJAMA(1997)-::-HouckPM  et al.Pneumonia treatment process and qualityArch Intern Med(2002)-::-Joint Commission on Accreditation of Healthcare OrganizationsSpecification manual for national implementation of hospital core measures, version 2.0(2004)-::-AustrianR  et al.Pneumococcal bacteremia with special reference to bacteremic pneumococcal pneumoniaAnn Intern Med(1964)"
High yield criteria for obtaining non-trauma chest radiography in the adult Emergency Department population,J.E Clinton et al.Chest radiography in the emergency departmentAnn Emerg Med(1986)-::-S Aronson et al.The value of routine admission chest radiographs in adult asthmaticsAnn Emerg Med(1989)-::-P Gennis et al.Clinical criteria for the detection of pneumonia in adultsguidelines for ordering chest roentgenograms in the Emergency DepartmentJ Emerg Med(1989)-::-B.M Singal et al.Decision rules and clinical prediction of pneumoniaevaluation of low-yield criteriaAnn Emerg Med(1989)-::-I.G Stiell et al.Methodologic standards for the development of clinical decision rules in emergency medicineAnn Emerg Med(1999)-::-P Diehr et al.Prediction of pneumonia in outpatients with acute cough—a statistical approachJ Chron Dis(1984)-::-C.L Emermann et al.Evaluation of high-yield criteria for chest radiography in acute exacerbation of chronic obstructive pulmonary diseaseAnn Emerg Med(1993)-::-S.E Zieverink et al.Emergency room radiography of asthmaan efficacy studyRadiology(1982)-::-B.R Benacerraf et al.An assessment of the contribution of chest radiography in outpatients with acute chest complaintsa prospective studyRadiology(1981)
Adequacy of pain assessment and pain relief and correlation of patient satisfaction in 68 ED fast-track patients,S. SummersEvidence-based practice part 2: reliability and validity of selected acute pain instrumentsJ Peri Anesthesia Nurs(2001)-::-J Ducharme et al.A prospective blinded study on emergency pain assessment and therapyJ Emerg Med(1995)-::-SM. SelbstAnalgesic use in the emergency departmentAnn Emerg Med(1990)-::-J. DucharmeAcute pain and pain control: state of the artAnn Emerg Med(2000)-::-F LoVecchio et al.The use of analgesics in patients with acute abdominal painJ Emerg Med(1997)-::-KH. ToddClinical versus statistical significance in the assessment of painAnn Emerg Med(1996)-::-TL Beel et al.Patient preferences regarding pain medication in the edAm J Emerg Med(2000)
A prospective study of ED pain management practices and the patient's perspective,J Wilson et al.Oligoanalgesia in the emergency departmentAm J Emerg Med(1989)-::-S Selbst et al.Analgesic use in the emergency departmentAnn Emerg Med(1990)-::-L Friedland et al.Emergency department analgesic use in pediatric trauma victims with fracturesAnn Emerg Med(1994)-::-K Raftery et al.Gender associated differences in emergency department pain managementAnn Emerg Med(1995)-::-J Ducharme et al.A prospective blinded study on emergency pain assessment and therapyJ Emerg Med(1995)-::-T. JantosAnalgesic practice for acute orthopedic trauma pain in Costa Rican emergency departmentsAnn Emerg Med(1996)-::-R. MelzackThe short-form McGill pain questionnairePain(1987)-::-K Herr et al.Comparison of selected pain assessment tools with the elderlyAppl Nurs Res(1993)-::-P Paris et al.Analgesia and sedation-::-G. LenehanOn making pain a priorityJ Emerg Nurs(1992)-::-L Lewis et al.Are emergency physicians too stingy with analgesics?South Med J(1994)
Impact of resuscitation and thrombolysis on mortality rate from acute myocardial infarction,"RG Wilcox et al.Trial of tissue plasminogen activator for mortality reduction in acute myocardial infarction. Anglo-Scandinavian Study of Early Thrombolysis (ASSET)Lancet(1988)-::-JM RawlesHalving of 1-year mortality from acute myocardial infarction by domiciliary thrombolysis in the Grampian Region Early Anistreplase TrialJ Am Coll Cardiol(1994)-::-Randomised trial of intravenous streptokinase, oral aspirin, both, or neither among 17 187 cases of suspected acute myocardial infarction: ISIS-2Lancet(1988)-::-H Tunstall-Pedoe et al.Failure of case fatality from myocardial infarction in the Glasgow MONICA population to change with changing medication 1985–1991Br Heart J(1994)-::-RM Norris et al.Mortality from ischaemic heart disease (IHD) outside and inside hospital; the Brighton heart attack studyBr Heart J(1994)-::-M Fulton et al.Sudden death and myocardial infarctionCirculation(1969)-::-A Colling et al.Teeside coronary survey: an epidemiological study of acute attacks of myocardial infarctionBr Med J(1976)-::-DA ChamberlainRelationship of trials to the general population: who should get thrombolysis and when?-::-RF Gillum et al.Delay in the prehospital phase of acute myocardial infarctionArch Intern Med(1976)"
Hospital delays and problems with thrombolytic administration in patients receiving thrombolytic therapy: A multicenter prospective assessment,"KennedyJW  et al.Recent changes in management of acute myocardial infarction: Implications for emergency care physiciansJAm Coll Cardiol(1988)-::-PassamaniE  et al.The thrombolysis in myocardial infarction (TIMI) phase II pilot study: Tissue plasminogen activator followed by percutaneous transluminal coronary angioplastyJAm Coll Cardiol(1987)-::-AldermanEL  et al.Randomized comparison of intravenous versus intracoronary streptokinase for myocardial infarctionAm J Cardiol(1984)-::-MaynardC  et al.Early versus late hospital arrival for acute myocardial infarction in the western Washington thrombolytic therapy trialsAm J Cardiol(1989)-::-WeaverWD  et al.Myocardial infarction triage and intervention project—Phase I: Patient characteristics and feasibility of prehospital initiation of thrombolytic therapyJAm Coll Cardiol(1990)-::-SmithM  et al.Thrombolytic therapy for myocardial infarction: Pivotal role for emergency medicineAnn Emerg Med(1987)-::-EisenbergMS  et al.The farmer and the cowman should be friends: Emergency physicians and cardiologists must work together to ensure rapid initiation of thrombolytic therapyAnn Emerg Med(1988)-::-GrimP  et al.Cellular telephone transmission of 12-lead electrocardiograms from ambulance to hospitalAm J Cardiol(1987)-::-Randomized trial of intravenous streptokinase, oral aspirin, both or neither among 17,187 cases of suspected acute myocardial infarction: ISIS-2Lancet(1988)-::-Effectiveness of intravenous thrombolytic treatment in acute myocardial infarctionLancet(1986)"
Time delays in the diagnosis and treatment of acute myocardial infarction: A tale of eight cities Report from the Pre-hospital Study Group and the Cincinnati Heart Project,"M Simoons et al.Early thrombolysis in acute myocardial infarction: limitation of infarct size improves survivalJ Am Coll Cardiol(1986)-::-EJ Topol et al.Thrombolysis and angioplasty in myocardial infarction (TAMI) trialJ Am Coll Cardiol(1987)-::-KL Neuhaus et al.Improved thrombolysis with a modified dose regimen of recombinant tissue type plasminogen activatorJ Am Coll Cardiol(1989)-::-E BraunwaldEnhancing thrombolytic efficacy by means of “front-loaded” administration of tissue plasminogen activator [Editorial]J Am Coll Cardiol(1989)-::-MT Ho et al.Delay between onset of chest pain and seeking medical care: the effect of public educationAnn Emerg Med(1989)-::-JW Kennedy et al.Recent changes in management of acute myocardial infarction: implications for emergency care physicians [Editorial]J Am Coll Cardiol(1988)-::-S SherryAppraisal of various thrombolytic agents in the treatment of acute myocardial infarctionAm J Med(1987)-::-WD Weaver et al.Myocardial infarction, triage and intervention project: phase I. Patient characteristics and feasibility of pre-hospital initiation of thrombolytic therapyJ Am Coll Cardiol(1990)-::-H Greenberg et al.Out of hospital paramedic administered streptokinase for acute myocardial infarctionLancet(1988)-::-Effectiveness of intravenous thrombolytic treatment in acute myocardial infarctionLancet(1986)-::-Long-term effects of intravenous thrombolysis in acute myocardial infarction: final report of the GISSI studyLancet(1987)-::-A multicenter, randomized trial of intravenous streptokinase and aspirin in acute myocardial infarctionLancet(1988)"
Improving the time to thrombolytic therapy for myocardial infarction by using a quality assurance audit,PassamaniE  et al.The thrombolysis in myocardial infarction (TIMI) phase II pilot study: Tissue plasminogen activator followed by percutaneous transluminal coronary angioplastyJAm Coll Cardiol(1987)-::-MaynardC  et al.Early versus late hospital arrival for acute myocardial infarction in the Western Washington thrombolytic therapy trialsAm J Cardiol(1989)-::-KaragounisL  et al.Impact of field-transmitted electrocardiography on time to in-hospital thrombolytic therapy in acute myocardial infarctionAm J Cardiol(1990)-::-KereiakesDJ  et al.Time delays in the diagnosis and treatment of acute myocardial infarction: A tale of eight cities. Report from the prehospital study group and the Cincinnati Heart ProjectAm Heart J(1990)-::-MosesHW  et al.Reducing delay in the emergency room in administration of thrombolytic therapy for myocardial infarction associated with ST elevationAm J Cardiol(1991)-::-KennedyJW  et al.Recent changes in management of acute myocardial infarction: Implications for emergency care physiciansJAm Coll Cardiol(1988)
American College of Emergency Physicians information paper: Chest pain units in emergency departments—A report from the short-term observation services section,C Maynard et al.Early versus late hospital arrival for acute myocardial infarction in the Western Washington thrombolytic trialsAm J Cardiol(1989)-::-GW Rouan et al.Chest pain clinic to improve the follow-up of patients released from an urban university teaching hospital emergency departmentAnn Emerg Med(1987)-::-A Karcz et al.Massachusetts Emergency Medicine Closed Malpractice Claims: 1988–1990Ann Emerg Med(1993)-::-JM Gaspoz et al.Outcome of patients who were admitted to a new short-stay unit to “rule out” myocardial infarctionAm J Cardiol(1991)-::-WB GiblerChest pain evaluation in the emergency department: beyond triageAm J Emerg Med(1994)-::-J Gaspoz et al.Cost-effectiveness of a new short-stay unit to “rule out” acute myocardial infarction in low risk patientsJ Am Coll Cardiol(1994)-::-MT Ho et al.Delay between onset of chest pain and seeking medical care. The effect of public educationAnn Emerg Med(1989)-::-WB Kannel et al.Blood pressure and survival after myocardial infarction: the Framingham StudyAm J Cardiol(1980)-::-HH Ting et al.Impact of physician experience on triage of emergency room patients with acute chest pain at three teaching hospitalsAm J Med(1991)-::-RL Wears et al.How many myocardial infarctions should we rule out?Ann Emerg Med(1989)-::-PL Henneman et al.Evaluation of patients with chest pain and nondiagnostic ECG using thallium-201 myocardial planar imaging and technetium-99m first-pass radionuclide angiography in the emergency departmentAnn Emerg Med(1992)-::-JK Oh et al.Evaluation of acute chest pain syndromes by two-dimensional echocardiography. Its potential use in the selection of patients for reperfusion therapy-::-T Varetto et al.Emergency room technetium sestamibi imaging to rule out acute myocardial ischemic events in patients with non-diagnostic electrocardiogramsJ Am Coll Cardiol(1993)-::-J Brillman et al.Management of observation unitsAnn Emerg Med(1995)-::-LG Graff et al.Emergency physician workload: a time studyAnn Emerg Med(1993)-::-DS O'Leary et al.From quality assurance to quality improvement: the Joint Commision on Accreditation of Healthcare Organizations and Emergency CareEmerg Med Clin North Am(1992)-::-WD Weaver et al.Prehospital initiation versus hospital initiation of thrombolysis: the Myocardial Infarction Triage and Intervention trial (MITI)JAMA(1993)-::-DG Cochrane et al.Epidemiology of observation services-::-WM Tierney et al.Physicians' estimates of the probability of myocardial infarction in emergency room patients with chest painMed Decis Mak(1986)-::-L Goldman et al.A Computer protocol to predict myocardial infarction in emergency department patients with chest painN Engl J Med(1988)
Rational ordering of serum electrolytes: Development of clinical criteria,"ChecchioLM  et al.Electrolytes, BUN, creatinine: Who's at risk?Ann Emerg Med(1986)-::-AbdurrahmanMB  et al.Utilization of laboratory services: Electrolytes and ureaPubl Hlth Lond(1982)-::-MoloneyTW  et al.Medical technology — a different view of the contentious debate over costsN Engl J Med(1979)-::-BloomgardenZ  et al.Evaluation of utilization of laboratory tests in a hospital emergency roomAm J Public Health(1980)-::-GrinerPF  et al.Use of the laboratory in a teaching hospital: Implications for patient care, education, and hospital costsAnn Intern Med(1971)-::-MorganDB The appropriate use of diagnostic services: (ii) The case for fewer measurements of the plasma sodium concentration: costs and gainsHealth Bulletin(1985)-::-TanIK  et al.Utilisation of biochemistry laboratory service — a ten-year reviewSingapore Med J(1981)-::-SandlerG Do emergency tests help in the management of acute medical admissions?Br Med J(1984)-::-SandlerG Costs of unnecessary testsBr Med J(1979)-::-NewbleDI  et al.An audit of investigational services within general medical unitsAust NZ J Med(1982)-::-KarasS Cost containment in emergency medicineJAMA(1980)-::-BelliveauRE  et al.Evaluation of routine profile chemistry screening of all patients admitted to a community hospitalAm J Clin Pathol(1970)-::-BryanDJ  et al.Profile of admission chemical data by multichannel automation: An evaluative experimentClin Chem(1966)-::-KorvinCC  et al.Admissions screening: Clinical benefitsAnn Intern Med(1975)-::-LeonardJV  et al.Use of biochemical profile in children's hospital: Results of two controlled trialsBr Med J(1975)-::-BatesB  et al.The yield of multiphasic screeningJAMA(1972)-::-CarmaltMHB  et al.Value of routine blood tests in patients attending the general practitionerBr Med J(1970)-::-FriedmanGD  et al.Biochemical screening tests: Effect of panel size on medical careArch Intern Med(1972)-::-NewmanHF Chemical screening in ambulatory adultsNY State J Med(1978)"
Modeling emergency department operations using advanced computer simulation systems,SaundersCE Time study of patient movement through the emergency department: Sources of delay in relation to patient acuityAnn Emerg Med(1987)-::-HeagartyMC  et al.An evaluation of the activities of nurses and pediatricians in a university outpatient departmentJ Pediatr(1973)-::-FriesBE  et al.Emergency room utilization: Data reconstruction using a deterministic simulation modelComp Biomed Res(1977)-::-AchabalDD  et al.Designing and evaluating a health care delivery system through the use of interactive computer graphicsSoc Sci Med(1978)-::-DubinAR  et al.Patient flow in pediatrics: Private practice versus the pediatric clinicAm J Dis Child(1974)-::-MamlinJJ  et al.Combined time motion and work sampling in a general medical clinicMed Care(1973)-::-ReiberNH Survey of emergency room usage gives guidelines for improvementHosp Topics(1965)-::-GossMEW  et al.Time spent by patients in emergency room: Survey at the New York HospitalNY State Med(1971)-::-CueF  et al.Improving the operations of the emergency departmentHospitals(1978)
Effect of a Patient's Sex on the Timing of Thrombolytic Therapy,"RG Wilcox et al.Trial of tissue plasminogen activator for mortality reduction in acute myocardial infarction: Anglo-Scandinavian Study of Early Thrombolysis (ASSET)Lancet(1988)-::-MS Eisenberg et al.Thrombolytic therapyAnn Emerg Med(1993)-::-WD Weaver et al.Myocardial infarction triage and intervention project, phase I: Patient characteristics and feasibility of prehospital initiation of thrombolytic therapyJ Am Coll Cardiol(1990)-::-L Karagounis et al.Impact of field transmitted electrocardiography on the time to inhospital thrombolytic therapy in acute myocardial infarctionAm J Cardiol(1990)-::-ER Gonzalez et al.Hospital delays and the problem with thrombolytic administration in patients receiving thrombolytic therapy: A multicenter prospective assessmentAnn Emerg Med(1992)-::-HW Moses et al.Reducing delay in the emergency room in administration of thrombolytic therapy for myocardial infarction associated with ST elevationAm J Cardiol(1991)-::-DG Fine et al.Importance of early initiation of intravenous streptokinase therapy for acute myocardial infarctionAm J Cardiol(1986)-::-DJ Lerner et al.Patterns of coronary heart disease morbidity and mortality in the sexes: A 26 year follow-up of the Framingham populationAm Heart J(1986)-::-C. Maynard et al.Underutilization of thrombolytic therapy in eligible women with acute myocardial infarctionAm J Cardiol(1991)-::-TP Hackett et al.Factors contributing to delay in responding to the signs and symptoms of acute myocardial infarctionAm J Cardiol(1969)-::-BW Karlson et al.Clinical factors associated with delay time in suspected acute myocardial infarctionAm Heart J(1990)-::-K Robinson et al.Risk factors and in-hospital course of first episode of myocardial infarction or acute coronary insufficiency in womenJ Am Coll Cardiol(1988)-::-ED Eaker et al.Comparison of the long-term, post-surgical survival of women and men in the Coronary Artery Surgery Study (CASS)Am Heart J(1989)-::-H Dittrich et al.Acute myocardial infarction in women: Influence of gender on morality and prognostic variablesAm J Cardiol(1988)-::-WH Cordell et al.Does anybody know what time it is? Does anybody really care?Ann Emerg Med(1994)-::-FWA Verheugt et al.Emergency room infusion of intravenous streptokinase in acute myocardial infarction: Feasibility, safety, and hemodynamic consequencesAm Heart J(1989)-::-Gruppo Italiano per lo Sopravvivenza nell'Infarcto MiocardicoGISSI-2: A factorial randomized trial of anteplase versus streptokinase and heparin versus no heparin among 12,490 patients with acute myocardial infarctionLancet(1990)-::-Gruppo Italiano per lo Studio della Streptochinasi nell'Infarcto Miocardico GISSIEffectiveness of intravenous thrombolytic treatment in acute myocardial infarctionLancet(1986)-::-ISIS Second International Study of Infarct Survival Collaborative GroupRandomized trial of intravenous streptokinase, oral aspirin, both or neither among 17,187 cases of suspected acute myocardial infarctionLancet(1988)-::-AIMS Trial Study GroupEffect of intravenous APSAC on mortality after acute myocardial infarction: Preliminary report of a placebo controlled clinical trialLancet(1988)-::-HD White et al.Effect of intravenous streptokinase on left ventricular function and early survival after acute myocardial infarctionN Engl J Med(1987)-::-The ISAM Study GroupA prospective trial of intravenous streptokinase in acute myocardial infarction (ISAM): Mortality, morbidity and infarct at 21 daysN Engl J Med(1986)-::-JW Kennedy et al.The Western Washington Intravenous Streptokinase in Acute Myocardial Infarction randomized trialCirculation(1988)-::-G Koren et al.Prevention of myocardial damage in acute myocardial ischemia by early treatment with intravenous streptokinaseN Engl J Med(1985)-::-CJ PepineThe importance of timing of thrombolytic therapy as shown in clinical trialsClin Cardiol(1990)"
Clinical characteristics and natural history of patients with acute myocardial infarction sent home from the emergency room,"JS Schroeder et al.Patients admitted to the coronary care unit for chest pain: high-risk subgroup for subsequent cardiovascular deathAm J Cardiol(1977)-::-L GoldmanCoronary care units: a perspective on their epidemiologic impactInt J Cardiol(1982)-::-WB BeanMasquerade of myocardial infarctionLancet(1977)-::-S Behar et al.Evaluation of electrocardiogram in emergency room as a decision-making toolChest(1977)-::-L Goldman et al.A computer-derived protocol to aid in the diagnosis of emergency room patients with acute chest painN Engl J Med(1982)-::-MW Pozen et al.A predictive instrument to improve coronary-care-unit admission practices in acute ischemic heart disease. A prospective multicenter clinical trialN Engl J Med(1984)-::-R Fuchs et al.Improved criteria for admission to cardiac care unitsJAMA(1981)-::-TH Lee et al.Acute chest pain in the emergency room. Identification and examination of low-risk patientsArch Intern Med(1985)-::-S Schor et al.Disposition of presumed coronary patients from an emergency room. A follow-up studyJAMA(1976)-::-L Goldman et al.Evidence that hospital care for acute myocardial infarction has not contributed to the decline in coronary mortality between 1973–1974Circulation(1982)-::-U.S. Bureau of the Census. Preliminary Estimates of the Population of the United States, by Age, Sex, and Race:...-::-TH Lee et al.Sensitivity of routine clinical criteria for diagnosing myocardial infarction within 24 hours of hospitalizationAnn Intern Med(1987)"
"The Prehospital Electrocardiogram in Acute Myocardial Infarction: Is Its Full Potential Being Realized? fn1fn1The National Registry of Myocardial Infarction 2 is supported by Genentech, Inc., South San Francisco, California.",
Prehospital recognition of AMI using independent nurse/paramedic 12-lead ECG evaluation: Impact on in-hospital times to thrombolysis in a rural community hospital,RG Wilcox et al.Trial of tissue plasminogen activator for mortality reduction in acute myocardial infarction: Anglo-Scandinavian study of early thrombolysis (ASSET)Lancet(1988)-::-M Verstraete et al.Randomized trial of intravenous recombinant tissue-type plasminogen activator versus streptokinase in acute myocardial infarction. ECSGLancet(1985)-::-DG Fine et al.Importance of early initiation of intravenous streptokinase therapy for acute myocardial infarctionAm J Cardiol(1986)-::-DJ Kereiakes et al.Time delays in the diagnosis and treatment of acute myocardial infarction: A tale of eight cities-::-AT Weiss et al.Prehospital coronary thrombolysis: A new strategy in acute myocardial infarctionChest(1987)-::-D Applebaum et al.Feasibility of prehospital thrombolytic therapy in acute myocardial infarctionAm J Emerg Med(1986)-::-D Villemant et al.Achievement of thrombolysis at home in cases of acute myocardial infarctionLancet(1987)-::-A Roth et al.Should thrombolytic therapy be administered in the mobile intensive care unit in patients with evolving myocardial infarction? A pilot studyJ Am Coll Cardiol(1990)-::-L Karagounis et al.Impact of field-transmitted electrocardiography on time to in-hospital thrombolytic therapy in acute myocardial infarctionAm J Cardiol(1990)-::-WB Gibler et al.Prehospital diagnosis and treatment of acute myocardial infarction: A North-South perspectiveAm Heart J(1991)-::-TP Aufderheide et al.Feasibility of prehospital r-TPA therapy in chest pain patientsAnn Emerg Med(1992)-::-PJ Kudenchuk et al.Accuracy of computer-interpreted electrocardiography in selecting patients for thrombolytic therapyJ Am Coll Cardiol(1991)
Intervention to decrease emergency department crowding: Does it have an effect on return visits and hospital readmissions?,"RW Derlet et al.Overcrowding in the nation's emergency departments: complex causes and disturbing effectsAnn Emerg Med(2000)-::-SG Lynn et al.Critical decisionmaking: managing the emergency department in an overcrowded hospitalAnn Emerg Med(1991)-::-FY Shih et al.ED overcrowding in Taiwan: facts and strategiesAm J Emerg Med(1999)-::-SC HuAnalysis of patient revisits to the emergency departmentAm J Emerg Med(1992)-::-KD Keith et al.Emergency department revisitsAnn Emerg Med(1989)-::-American College of Emergency PhysiciansMeasures to deal with emergency overcrowdingAnn Emerg Med(1990)-::-J BohlandNeighborhood variations in the use of hospital emergency rooms for primary careSoc Sci Med(1984)-::-DW Spaite et al.Rapid process redesign in a university-based emergency department: decreasing waiting time intervals and improving patient satisfactionAnn Emerg Med(2002)-::-MSSS Québec Ministry of Health and Social ServicesLa situation dans les urgences en 1999: un défi majeur pour le réseau(1999)-::-L DohertyHospitals turn ambulances awayThe Sydney Morning Herald(November 3, 1998)-::-O Miro et al.Decreased health care quality associated with emergency department overcrowdingEur J Emerg Med(1999)-::-MAS Ministère des Affaires Sociales du QuébecRapport du comité “Système de services d'urgence.”(1974)-::-AB Bindman et al.Consequences of queuing for care at a public hospital emergency departmentJAMA(1991)-::-DW Baker et al.Patients who leave a public hospital emergency department without being seen by a physician, causes and consequencesJAMA(1991)-::-J Henderson et al.Should emergency readmissions be used as health indicators and in medical audit?Health Serv Manage Res(1993)-::-JM Pierce et al.“Bounces”: an analysis of short term return visits to a public hospital emergency departmentAnn Emerg Med(1990)-::-JW Thomas et al.Investigating early readmission as an indicator for quality of care studiesMed Care(1991)-::-PS Wilkins et al.Audit of unexpected return visits to an accident and emergency departmentArch Emerg Med(1992)-::-MSSS Québec Ministry of Health and Social ServicesRegistre des urgences(1994)-::-P GrandjeanDepuis un an, l'urgence de l'Hôpital Général Juif n'est plus congestionnéeL'actualité Médicale(1994)-::-LE Jacoby et al.Factors associated with ED use by “repeater” and “non-repeater” patientsJ Emerg Nurs(1982)-::-J McCusker et al.Predictors of repeat emergency department visits by eldersAcad Emerg Med(1997)-::-J McCusker et al.Return to the emergency department among elders: patterns and predictorsAcad Emerg Med(2000)-::-PD Friedman et al.Early revisit, hospitalization, or death among older persons discharged from the EDAm J Emerg Med(2001)-::-CR Victor et al.The early readmission of the elderly to hospitalAge Ageing(1985)-::-JM Corrigan et al.Identification of factors associated with hospital readmission and development of a predictive modelHealth Serv Res(1992)"
Using the Online and Offline Change Model to Improve Efficiency for Fast-Track Patients in an Emergency Department,
